Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
23	Spectrogram 1	1	65.97714286	68.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	6	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	9	60
24	Spectrogram 1	1	68.97714286	71.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	9	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9967	3	12	60
25	Spectrogram 1	1	71.97714286	74.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	12	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9997	3	15	60
26	Spectrogram 1	1	74.97714286	77.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	15	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	18	60
27	Spectrogram 1	1	77.97714286	80.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	18	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9998	3	21	60
28	Spectrogram 1	1	80.97714286	83.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	21	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9996	3	24	60
29	Spectrogram 1	1	83.97714286	86.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	24	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9998	3	27	60
30	Spectrogram 1	1	86.97714286	89.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	27	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	30	60
31	Spectrogram 1	1	89.97714286	92.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	30	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9998	3	33	60
32	Spectrogram 1	1	92.97714286	95.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	33	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	36	60
33	Spectrogram 1	1	95.97714286	98.97714286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	36	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	39	60
34	Spectrogram 1	1	98.97714286	101.9771429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	39	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	42	60
35	Spectrogram 1	1	101.9771429	104.9771429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	42	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9998	3	45	60
36	Spectrogram 1	1	104.9771429	107.9771429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	45	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9962	3	48	60
37	Spectrogram 1	1	107.9771429	110.9771429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	48	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9819	3	51	60
38	Spectrogram 1	1	110.9771429	113.9771429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	51	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.987	3	54	60
39	Spectrogram 1	1	113.9771429	116.9771429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	54	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9986	3	57	60
40	Spectrogram 1	1	116.9771429	119.9571429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_030000.wav	57	TURBERABLEST_20230101_030000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9998	3	60	60
41	Spectrogram 1	1	119.9542857	122.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	0	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9853	3	3	60
42	Spectrogram 1	1	122.9542857	125.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	3	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9758	3	6	60
43	Spectrogram 1	1	125.9542857	128.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	6	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9963	3	9	60
44	Spectrogram 1	1	128.9542857	131.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	9	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9984	3	12	60
45	Spectrogram 1	1	131.9542857	134.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	12	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9969	3	15	60
46	Spectrogram 1	1	134.9542857	137.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	15	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9986	3	18	60
47	Spectrogram 1	1	137.9542857	140.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	18	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9754	3	21	60
48	Spectrogram 1	1	140.9542857	143.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	21	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9933	3	24	60
49	Spectrogram 1	1	143.9542857	146.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	24	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9911	3	27	60
50	Spectrogram 1	1	146.9542857	149.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	27	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9956	3	30	60
51	Spectrogram 1	1	149.9542857	152.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	30	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9858	3	33	60
52	Spectrogram 1	1	152.9542857	155.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	33	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9925	3	36	60
53	Spectrogram 1	1	155.9542857	158.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	36	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9971	3	39	60
54	Spectrogram 1	1	158.9542857	161.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	39	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9949	3	42	60
55	Spectrogram 1	1	161.9542857	164.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	42	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9967	3	45	60
56	Spectrogram 1	1	164.9542857	167.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	45	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9861	3	48	60
57	Spectrogram 1	1	167.9542857	170.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	48	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9997	3	51	60
58	Spectrogram 1	1	170.9542857	173.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	51	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9969	3	54	60
59	Spectrogram 1	1	173.9542857	176.9542857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	54	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9937	3	57	60
60	Spectrogram 1	1	176.9542857	179.9342857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_050000.wav	57	TURBERABLEST_20230101_050000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9894	3	60	60
61	Spectrogram 1	1	179.9314286	182.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	0	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9995	3	3	60
62	Spectrogram 1	1	182.9314286	185.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	3	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9998	3	6	60
63	Spectrogram 1	1	185.9314286	188.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	6	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9989	3	9	60
64	Spectrogram 1	1	188.9314286	191.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	9	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9983	3	12	60
