Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Delta Time (s)	Common Name	Species Code	Confidence	Duration	Corrected_EndTime
40	Spectrogram 1	1	381	384	0	15000	21	HUILO01_20240126_090000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1803	60	24
41	Spectrogram 1	1	384	387	0	15000	24	HUILO01_20240126_090000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.181	60	27
42	Spectrogram 1	1	387	390	0	15000	27	HUILO01_20240126_090000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.2438	60	30
43	Spectrogram 1	1	390	393	0	15000	30	HUILO01_20240126_090000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.3281	60	33
44	Spectrogram 1	1	399	402	0	15000	39	HUILO01_20240126_090000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1983	60	42
45	Spectrogram 1	1	405	408	0	15000	45	HUILO01_20240126_090000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.4448	60	48
46	Spectrogram 1	1	411	414	0	15000	51	HUILO01_20240126_090000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1847	60	54
47	Spectrogram 1	1	417	420	0	15000	57	HUILO01_20240126_090000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.4715	60	60
48	Spectrogram 1	1	420	423	0	15000	0	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.146	60	3
49	Spectrogram 1	1	429	432	0	15000	9	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.6178	60	12
50	Spectrogram 1	1	435	438	0	15000	15	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.3011	60	18
51	Spectrogram 1	1	438	441	0	15000	18	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.8227	60	21
52	Spectrogram 1	1	441	444	0	15000	21	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.9653	60	24
53	Spectrogram 1	1	444	447	0	15000	24	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.2787	60	27
54	Spectrogram 1	1	450	453	0	15000	30	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1903	60	33
55	Spectrogram 1	1	453	456	0	15000	33	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.8134	60	36
56	Spectrogram 1	1	456	459	0	15000	36	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1946	60	39
57	Spectrogram 1	1	459	462	0	15000	39	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1317	60	42
58	Spectrogram 1	1	477	480	0	15000	57	HUILO01_20240126_100000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.748	60	60
59	Spectrogram 1	1	480	483	0	15000	0	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.235	60	3
60	Spectrogram 1	1	486	489	0	15000	6	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.13	60	9
61	Spectrogram 1	1	489	492	0	15000	9	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.2809	60	12
62	Spectrogram 1	1	492	495	0	15000	12	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.9466	60	15
63	Spectrogram 1	1	495	498	0	15000	15	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.3398	60	18
64	Spectrogram 1	1	498	501	0	15000	18	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1547	60	21
65	Spectrogram 1	1	504	507	0	15000	24	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1981	60	27
66	Spectrogram 1	1	513	516	0	15000	33	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1407	60	36
67	Spectrogram 1	1	516	519	0	15000	36	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.5577	60	39
68	Spectrogram 1	1	519	522	0	15000	39	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1486	60	42
69	Spectrogram 1	1	525	528	0	15000	45	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1451	60	48
70	Spectrogram 1	1	531	534	0	15000	51	HUILO01_20240126_110000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.969	60	54
71	Spectrogram 1	1	561	564	0	15000	21	HUILO01_20240126_120000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.108	60	24
72	Spectrogram 1	1	564	567	0	15000	24	HUILO01_20240126_120000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.6916	60	27
73	Spectrogram 1	1	567	570	0	15000	27	HUILO01_20240126_120000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.9801	60	30
74	Spectrogram 1	1	573	576	0	15000	33	HUILO01_20240126_120000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.221	60	36
75	Spectrogram 1	1	576	579	0	15000	36	HUILO01_20240126_120000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1485	60	39
76	Spectrogram 1	1	582	585	0	15000	42	HUILO01_20240126_120000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.4659	60	45
77	Spectrogram 1	1	585	588	0	15000	45	HUILO01_20240126_120000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1922	60	48
78	Spectrogram 1	1	597	600	0	15000	57	HUILO01_20240126_120000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.3065	60	60
